RouteName,RouteNumber,Ecoregion_L1Code,Ecoregion_L1Name
LORAINE,91012,8,EASTERN TEMPERATE FORESTS
CUMBERLAND,91013,8,EASTERN TEMPERATE FORESTS
PHILLIPS,91019,5,NORTHERN FORESTS
MERRILL,91021,8,EASTERN TEMPERATE FORESTS
IRMA,91022,5,NORTHERN FORESTS
AMBERG,91028,5,NORTHERN FORESTS
COCHRANE,91032,8,EASTERN TEMPERATE FORESTS
CADOTT,91035,8,EASTERN TEMPERATE FORESTS
UNITY,91036,8,EASTERN TEMPERATE FORESTS
STRATFORD,91039,8,EASTERN TEMPERATE FORESTS
WIS RAPIDS,91040,8,EASTERN TEMPERATE FORESTS
MANAWA,91044,8,EASTERN TEMPERATE FORESTS
OCONTO FALLS,91045,8,EASTERN TEMPERATE FORESTS
CASCO,91049,8,EASTERN TEMPERATE FORESTS
FALL RIVER,91058,8,EASTERN TEMPERATE FORESTS
BROWNSVILLE,91059,8,EASTERN TEMPERATE FORESTS
PARIS,91069,8,EASTERN TEMPERATE FORESTS
STETSONVILLE,91118,8,EASTERN TEMPERATE FORESTS
04-002 BOW ISLAND,4002,9,GREAT PLAINS
04-003 MILK RIVER,4003,9,GREAT PLAINS
04-004 FORT MACLEOD,4004,9,GREAT PLAINS
04-006 BINDLOSS,4006,9,GREAT PLAINS
04-011 CEREAL,4011,9,GREAT PLAINS
04-013 ROWLEY,4013,9,GREAT PLAINS
04-015 EAGLE HILL,4015,5,NORTHERN FORESTS
04-017 BOW PASS,4017,6,NORTHWESTERN FORESTED MOUNTAINS
04-018 CZAR,4018,9,GREAT PLAINS
04-019 TALBOT,4019,9,GREAT PLAINS
04-020 HALKIRK,4020,9,GREAT PLAINS
04-022 RAVEN,4022,5,NORTHERN FORESTS
04-024 WINDY POINT,4024,6,NORTHWESTERN FORESTED MOUNTAINS
04-025 MALIGNE LAKE,4025,6,NORTHWESTERN FORESTED MOUNTAINS
04-026 DERWENT,4026,9,GREAT PLAINS
04-027 TWO HILLS,4027,5,NORTHERN FORESTS
04-029 CALAHOO,4029,5,NORTHERN FORESTS
04-031 RONAN,4031,5,NORTHERN FORESTS
04-032 EDSON,4032,5,NORTHERN FORESTS
04-033 ENTRANCE,4033,5,NORTHERN FORESTS
04-036 KEHIWIN LAKE,4036,5,NORTHERN FORESTS
04-037 THERIEN,4037,5,NORTHERN FORESTS
04-038 KINIKINIK,4038,5,NORTHERN FORESTS
04-039 ATHABASCA,4039,5,NORTHERN FORESTS
04-040 THUNDER LAKE,4040,5,NORTHERN FORESTS
04-042 WINDFALL,4042,5,NORTHERN FORESTS
04-043 LITTLE SMOKY,4043,5,NORTHERN FORESTS
04-044 ECONOMY CRK,4044,5,NORTHERN FORESTS
04-046 WINEFRED LAKE,4046,5,NORTHERN FORESTS
04-049 CALLING LAKE,4049,5,NORTHERN FORESTS
04-050 MARTEN RIVER,4050,5,NORTHERN FORESTS
04-054 RYCROFT,4054,5,NORTHERN FORESTS
04-055 WEMBLEY,4055,5,NORTHERN FORESTS
04-060 SUNNYBROOK,4060,5,NORTHERN FORESTS
