RouteName,RouteNumber,Ecoregion_L1Code,Ecoregion_L1Name
45-024 KULISH,45024,9,GREAT PLAINS
45-026 ZELENA,45026,5,NORTHERN FORESTS
45-030 SWAN RIVER,45030,5,NORTHERN FORESTS
45-032 THE PAS,45032,5,NORTHERN FORESTS
45-033 CRANBERRY PG,45033,5,NORTHERN FORESTS
45-037 GRASS RIVER,45037,5,NORTHERN FORESTS
45-040 BISSETT,45040,5,NORTHERN FORESTS
45-041 HECLA ISLAND,45041,5,NORTHERN FORESTS
45-042 RED ROSE,45042,5,NORTHERN FORESTS
45-043 CAMPER,45043,5,NORTHERN FORESTS
45-047 N TWO RIVERS,45047,5,NORTHERN FORESTS
45-048 TWIN CREEKS,45048,5,NORTHERN FORESTS
45-049 LENSWOOD,45049,5,NORTHERN FORESTS
45-055 MUDDY BAY,45055,5,NORTHERN FORESTS
45-060 CROSS LAKE,45060,5,NORTHERN FORESTS
45-061 MINAGO RIVER,45061,5,NORTHERN FORESTS
45-065 THOMPSON,45065,5,NORTHERN FORESTS
45-067 NOTIGI LAKE,45067,5,NORTHERN FORESTS
45-075 LEAF RAPIDS,45075,5,NORTHERN FORESTS
45-076 SUWANNEE RIV,45076,5,NORTHERN FORESTS
45-077 LYNN LAKE,45077,5,NORTHERN FORESTS
45-101 BRAINTREE,45101,5,NORTHERN FORESTS
45-102 GRUNTHAL,45102,9,GREAT PLAINS
45-103 ST F XAVIER,45103,9,GREAT PLAINS
45-105 HOLLAND,45105,9,GREAT PLAINS
45-107 LENA,45107,9,GREAT PLAINS
45-109 OAK LAKE,45109,9,GREAT PLAINS
45-111 ELVA,45111,9,GREAT PLAINS
45-112 SPRINGER LK,45112,5,NORTHERN FORESTS
45-113 TRAVERSE BAY,45113,5,NORTHERN FORESTS
45-116 DELTA BEACH,45116,9,GREAT PLAINS
45-118 MCCREARY,45118,9,GREAT PLAINS
45-120 RIDING MTN,45120,5,NORTHERN FORESTS
45-121 WATTSVIEW,45121,9,GREAT PLAINS
45-141 Pine Dock Road,45141,5,NORTHERN FORESTS
45-154 Grand Rapids Dam,45154,5,NORTHERN FORESTS
45-201 WHITEMOUTH LAKE,45201,5,NORTHERN FORESTS
45-203 GRETNA,45203,9,GREAT PLAINS
45-205 GRAYSVILLE,45205,9,GREAT PLAINS
45-209 GRAND CLAIRI,45209,9,GREAT PLAINS
45-212 Big Whiteshell Lk,45212,5,NORTHERN FORESTS
45-216 WESTBOURNE,45216,9,GREAT PLAINS
45-218 BIRNIE,45218,9,GREAT PLAINS
45-220 RUTHENIA,45220,5,NORTHERN FORESTS
45-242 ROSENBURG,45242,5,NORTHERN FORESTS
45-302 Vita,45302,5,NORTHERN FORESTS
45-303 Green Ridge,45303,9,GREAT PLAINS
45-305 St. Claude,45305,9,GREAT PLAINS
45-309 Turtle Mtn,45309,9,GREAT PLAINS
45-313 Lac du Bonnet,45313,5,NORTHERN FORESTS
45-314 STONEWALL,45314,9,GREAT PLAINS
45-320 CARDALE,45320,9,GREAT PLAINS
45-402 Sandilands,45402,5,NORTHERN FORESTS
45-403 Sperling-Homewood,45403,9,GREAT PLAINS
45-413 STEAD,45413,5,NORTHERN FORESTS
45-414 Woodroyd,45414,9,GREAT PLAINS
45-514 BERLO,45514,5,NORTHERN FORESTS
45-614 SHARPEWOOD,45614,9,GREAT PLAINS
56-002 Lac Baker,56002,8,EASTERN TEMPERATE FORESTS
56-007 KEDGEWICK RI,56007,5,NORTHERN FORESTS
56-008 NICTAU,56008,8,EASTERN TEMPERATE FORESTS
56-009 NEPISIGUIT,56009,8,EASTERN TEMPERATE FORESTS
56-013 ESCUMINAC,56013,8,EASTERN TEMPERATE FORESTS
56-014 PAQUETVILLE,56014,8,EASTERN TEMPERATE FORESTS
56-015 LAUVERGOT,56015,8,EASTERN TEMPERATE FORESTS
56-018 CLOVERDALE,56018,8,EASTERN TEMPERATE FORESTS
56-022 MINTO,56022,8,EASTERN TEMPERATE FORESTS
56-023 DUNGARVON RIVER,56023,8,EASTERN TEMPERATE FORESTS
56-024 HOLTVILLE,56024,8,EASTERN TEMPERATE FORESTS
56-025 BLACKVILLE,56025,8,EASTERN TEMPERATE FORESTS
56-026 RED BANK,56026,8,EASTERN TEMPERATE FORESTS
56-031 JOLICURE,56031,8,EASTERN TEMPERATE FORESTS
56-033 OAK HILL,56033,8,EASTERN TEMPERATE FORESTS
56-034 McAdam,56034,8,EASTERN TEMPERATE FORESTS
56-036 Grand Manan,56036,8,EASTERN TEMPERATE FORESTS
56-037 Jemseg,56037,8,EASTERN TEMPERATE FORESTS
56-038 PENNFIELD RG,56038,8,EASTERN TEMPERATE FORESTS
56-040 MCDOUGALL LAKE,56040,8,EASTERN TEMPERATE FORESTS
56-041 HAMPTON,56041,8,EASTERN TEMPERATE FORESTS
56-042 PENOBSQUIS,56042,8,EASTERN TEMPERATE FORESTS
56-101 HALFWAY DEPOT,56101,8,EASTERN TEMPERATE FORESTS
56-105 ST. ANDRE,56105,8,EASTERN TEMPERATE FORESTS
56-116 LAMÈQUE,56116,8,EASTERN TEMPERATE FORESTS
56-125 New Canaan,56125,8,EASTERN TEMPERATE FORESTS
56-129 REXTON,56129,8,EASTERN TEMPERATE FORESTS
56-131 Shemogue,56131,8,EASTERN TEMPERATE FORESTS
56-132 ROSEVALE,56132,8,EASTERN TEMPERATE FORESTS
56-137 MAQUAPIT LK.,56137,8,EASTERN TEMPERATE FORESTS
56-144 Cambridge-Narrows,56144,8,EASTERN TEMPERATE FORESTS
57-001 TREPASSEY,57001,5,NORTHERN FORESTS
57-003 ST JOHN'S,57003,5,NORTHERN FORESTS
57-004 HEARTS DLITE,57004,5,NORTHERN FORESTS
57-006 GRAND BANK,57006,5,NORTHERN FORESTS
57-008 BURGEO SO,57008,5,NORTHERN FORESTS
57-009 SHEAVES COVE,57009, , 
57-010 O'REGANS,57010,5,NORTHERN FORESTS
57-011 BONAVISTA,57011,5,NORTHERN FORESTS
57-012 TERRA NOVA,57012,5,NORTHERN FORESTS
57-013 NW GANDER RIVER,57013,5,NORTHERN FORESTS
57-014 BUCHANS,57014,5,NORTHERN FORESTS
57-015 BURGEO ROAD,57015,5,NORTHERN FORESTS
57-016 ST DAVIDS,57016,5,NORTHERN FORESTS
57-017 WAREHAM,57017,5,NORTHERN FORESTS
57-018 GANDER BAY,57018,5,NORTHERN FORESTS
57-019 NORTHERN ARM,57019,5,NORTHERN FORESTS
57-020 BURLINGTON,57020,5,NORTHERN FORESTS
57-021 ST PAULS,57021,5,NORTHERN FORESTS
57-022 RODDICKTON,57022,5,NORTHERN FORESTS
57-024 ST ANTHONY,57024,5,NORTHERN FORESTS
57-026 L'ANSE-AU-LOUP,57026,5,NORTHERN FORESTS
57-027 PORT HOPE SIMPSON,57027,5,NORTHERN FORESTS
57-028 CHARLOTTETOWN,57028,5,NORTHERN FORESTS
57-030 CARTWRIGHT JUNCTION,57030,5,NORTHERN FORESTS
57-041 Labrador City,57041,3,TAIGA
57-042 BOB'S BROOK,57042,5,NORTHERN FORESTS
57-043 TransLabHWY,57043,3,TAIGA
57-044 Main Wilson River,57044,3,TAIGA
57-045 Misty Lake,57045,3,TAIGA
57-102 LORDS COVE,57102,5,NORTHERN FORESTS
57-105 BAY L'ARGENT,57105,5,NORTHERN FORESTS
57-120 SCAB COVE,57120,5,NORTHERN FORESTS
57-121 WOODY POINT,57121,5,NORTHERN FORESTS
57-125 FLOWERS COVE,57125,5,NORTHERN FORESTS
57-137 Raft River,57137,3,TAIGA
57-138 PARADISE RIVER,57138,5,NORTHERN FORESTS
57-225 Red Bay,57225,5,NORTHERN FORESTS
62-016 Maguse,62016, , 
65-001 MABOU,65001,5,NORTHERN FORESTS
65-002 CAPE NORTH,65002,5,NORTHERN FORESTS
65-003 PLEASANT BAY,65003,5,NORTHERN FORESTS
65-005 PT MICHAUD,65005,5,NORTHERN FORESTS
65-006 LOCH LOMOND,65006,5,NORTHERN FORESTS
65-007 BOISDALE,65007,5,NORTHERN FORESTS
65-009 ROMAN VALLEY,65009,5,NORTHERN FORESTS
65-011 LARRYS RIVER,65011, , 
65-013 TRAFALGAR,65013,5,NORTHERN FORESTS
65-014 JAMES RIVER,65014,5,NORTHERN FORESTS
65-015 Crows Nest,65015,5,NORTHERN FORESTS
65-018 TATAMAGOUCHE,65018,8,EASTERN TEMPERATE FORESTS
65-019 LONDONDERRY,65019,5,NORTHERN FORESTS
65-020 OXFORD,65020,5,NORTHERN FORESTS
65-021 N KINGSTON,65021,8,EASTERN TEMPERATE FORESTS
65-022 AMHERST,65022,8,EASTERN TEMPERATE FORESTS
65-023 JOGGINS,65023,8,EASTERN TEMPERATE FORESTS
65-027 SHEET HARBOR,65027,5,NORTHERN FORESTS
65-028 GOFFS,65028,5,NORTHERN FORESTS
65-031 WALDEN,65031,5,NORTHERN FORESTS
65-032 Cape St Marys,65032,5,NORTHERN FORESTS
65-033 BRIDGETOWN,65033,8,EASTERN TEMPERATE FORESTS
65-034 DIGBY NECK,65034,8,EASTERN TEMPERATE FORESTS
65-035 RICHFIELD,65035,5,NORTHERN FORESTS
65-036 KEJIMKUJIK,65036,5,NORTHERN FORESTS
65-037 SHELBURNE,65037,5,NORTHERN FORESTS
65-038 BARRINGTON,65038,5,NORTHERN FORESTS
65-040 PORT MAITLAND,65040,5,NORTHERN FORESTS
65-117 SHUBENACADIE,65117,8,EASTERN TEMPERATE FORESTS
65-228 Musquodoboit Harbour,65228,8,EASTERN TEMPERATE FORESTS
68-001 DUNNVILLE,68001,8,EASTERN TEMPERATE FORESTS
68-002 PORT DOVER,68002,8,EASTERN TEMPERATE FORESTS
68-004 KINGSVILLE,68004,8,EASTERN TEMPERATE FORESTS
68-005 PALGRAVE,68005,8,EASTERN TEMPERATE FORESTS
68-007 STRATFORD,68007,8,EASTERN TEMPERATE FORESTS
68-009 GODERICH,68009,8,EASTERN TEMPERATE FORESTS
68-010 AUBURN,68010,8,EASTERN TEMPERATE FORESTS
68-011 KEMPTVILLE,68011,8,EASTERN TEMPERATE FORESTS
68-012 ODESSA,68012,8,EASTERN TEMPERATE FORESTS
68-014 PICTON,68014,8,EASTERN TEMPERATE FORESTS
68-015 ROBLIN,68015,8,EASTERN TEMPERATE FORESTS
68-016 FRASERVILLE,68016,8,EASTERN TEMPERATE FORESTS
68-018 ORILLIA,68018,8,EASTERN TEMPERATE FORESTS
68-020 WOODFORD,68020,8,EASTERN TEMPERATE FORESTS
68-022 PAISLEY,68022,8,EASTERN TEMPERATE FORESTS
68-026 BARRY'S BAY,68026,5,NORTHERN FORESTS
68-028 GORDON BAY,68028,5,NORTHERN FORESTS
68-029 SARNIA,68029,8,EASTERN TEMPERATE FORESTS
68-034 SUOMI,68034,5,NORTHERN FORESTS
68-035 THUNDER BAY,68035,5,NORTHERN FORESTS
68-036 SILVER ISLET,68036,5,NORTHERN FORESTS
68-037 MANITOWANING,68037,8,EASTERN TEMPERATE FORESTS
68-039 NORTH BAY,68039,5,NORTHERN FORESTS
68-043 HEARST,68043,5,NORTHERN FORESTS
68-044 LARDER LAKE,68044,5,NORTHERN FORESTS
68-045 MATTAWA,68045,5,NORTHERN FORESTS
68-046 NIPIGON,68046,5,NORTHERN FORESTS
68-047 HAILEYBURY,68047,5,NORTHERN FORESTS
68-048 ELK LAKE,68048,5,NORTHERN FORESTS
68-049 MASSEY,68049,5,NORTHERN FORESTS
68-050 EGANVILLE,68050,5,NORTHERN FORESTS
68-051 WHITNEY,68051,5,NORTHERN FORESTS
68-052 PORT CARLING,68052,5,NORTHERN FORESTS
68-053 FORT FRANCES,68053,5,NORTHERN FORESTS
68-054 KENORA,68054,5,NORTHERN FORESTS
68-055 SYDNEY LAKE,68055,5,NORTHERN FORESTS
68-058 GORE BAY,68058,8,EASTERN TEMPERATE FORESTS
68-059 S STE MARIE,68059,5,NORTHERN FORESTS
68-064 SMOOTH ROCK,68064,5,NORTHERN FORESTS
68-066 STRATTON,68066,5,NORTHERN FORESTS
68-068 HORNEPAYNE,68068,5,NORTHERN FORESTS
68-071 TEEPEE CREEK,68071,5,NORTHERN FORESTS
68-072 WHITE RIVER,68072,5,NORTHERN FORESTS
68-076 Sultan,68076,5,NORTHERN FORESTS
68-080 COCHRANE,68080,5,NORTHERN FORESTS
68-081 NATTAWA FALLS,68081,5,NORTHERN FORESTS
68-082 KABIKA LAKE,68082,5,NORTHERN FORESTS
68-083 MAYHEW,68083,8,EASTERN TEMPERATE FORESTS
68-091 MENAKO LAKES,68091,5,NORTHERN FORESTS
68-092 BERENS LAKE,68092,5,NORTHERN FORESTS
68-106 TERRA COTTA,68106,8,EASTERN TEMPERATE FORESTS
68-113 GLEN TAY,68113,5,NORTHERN FORESTS
68-117 BIRDSALL,68117,8,EASTERN TEMPERATE FORESTS
68-119 WILFRID,68119,8,EASTERN TEMPERATE FORESTS
68-121 ROCK MILLS,68121,8,EASTERN TEMPERATE FORESTS
68-123 TAYSIDE,68123,8,EASTERN TEMPERATE FORESTS
68-125 MEATH,68125,8,EASTERN TEMPERATE FORESTS
68-127 DWIGHT,68127,5,NORTHERN FORESTS
68-132 RAWN RESERVOIR,68132,5,NORTHERN FORESTS
68-141 VERMILLION,68141,5,NORTHERN FORESTS
68-142 LITTLE RAPID,68142,5,NORTHERN FORESTS
68-143 RANGER LAKE,68143,5,NORTHERN FORESTS
68-144 IRON BRIDGE,68144,5,NORTHERN FORESTS
68-160 BLUEBERRY,68160,5,NORTHERN FORESTS
68-167 PEARCE LAKE,68167,5,NORTHERN FORESTS
68-174 KAMISKOTIA,68174,5,NORTHERN FORESTS
68-175 THE SHOALS,68175,5,NORTHERN FORESTS
68-178 NEYS,68178,5,NORTHERN FORESTS
68-180 Lower Tweed Road,68180,5,NORTHERN FORESTS
68-184 Racine Lake,68184,5,NORTHERN FORESTS
68-191 Opapimiskan Lake,68191,5,NORTHERN FORESTS
68-202 SPRINGFIELD,68202,8,EASTERN TEMPERATE FORESTS
68-203 STRATHROY,68203,8,EASTERN TEMPERATE FORESTS
68-204 KENT BRIDGE,68204,8,EASTERN TEMPERATE FORESTS
68-208 W. MONTROSE,68208,8,EASTERN TEMPERATE FORESTS
68-209 CARLINGFORD,68209,8,EASTERN TEMPERATE FORESTS
68-210 JAMESTOWN,68210,8,EASTERN TEMPERATE FORESTS
68-211 EASTONS CORNERS,68211,8,EASTERN TEMPERATE FORESTS
68-213 MABERLY,68213,5,NORTHERN FORESTS
68-214 MOIRA,68214,8,EASTERN TEMPERATE FORESTS
68-215 GUNTER,68215,5,NORTHERN FORESTS
68-216 BELLEVILLE,68216,8,EASTERN TEMPERATE FORESTS
68-217 LASSWADE,68217,5,NORTHERN FORESTS
68-219 HOCKLEY,68219,8,EASTERN TEMPERATE FORESTS
68-220 SUNNIDALE CO,68220,8,EASTERN TEMPERATE FORESTS
68-222 HOPEVILLE,68222,8,EASTERN TEMPERATE FORESTS
68-223 ST.-EUGENE,68223,8,EASTERN TEMPERATE FORESTS
68-224 W. OSGOODE,68224,8,EASTERN TEMPERATE FORESTS
68-225 KINBURN,68225,8,EASTERN TEMPERATE FORESTS
68-226 PETAWAWA,68226,5,NORTHERN FORESTS
68-231 BARREN BROOK,68231,5,NORTHERN FORESTS
68-233 DUGWAL,68233,5,NORTHERN FORESTS
68-238 SHAWANAGA,68238,5,NORTHERN FORESTS
68-245 ST. CHARLES,68245,5,NORTHERN FORESTS
68-247 HILLIARDTON,68247,5,NORTHERN FORESTS
68-248 MATACHEWAN,68248,5,NORTHERN FORESTS
68-249 ELLIOT LAKE,68249,5,NORTHERN FORESTS
68-250 MCARTHUR MILL,68250,5,NORTHERN FORESTS
68-252 BAYSVILLE,68252,5,NORTHERN FORESTS
68-253 NICKEL LAKE,68253,5,NORTHERN FORESTS
68-255 HICKS LAKE,68255,5,NORTHERN FORESTS
68-256 SILVER DOLLAR,68256,5,NORTHERN FORESTS
68-259 GOLDIE LAKE,68259,5,NORTHERN FORESTS
68-260 GERALDTON,68260,5,NORTHERN FORESTS
68-261 KLOTZ LAKE,68261,5,NORTHERN FORESTS
68-263 GORDON LAKE ROAD,68263,5,NORTHERN FORESTS
68-264 BIG SANDY L.,68264,5,NORTHERN FORESTS
68-265 UPSALA,68265,5,NORTHERN FORESTS
68-267 SPARKLING L.,68267,5,NORTHERN FORESTS
68-268 CALSTOCK,68268,5,NORTHERN FORESTS
68-270 GILLARD LAKE,68270,5,NORTHERN FORESTS
68-271 POSHKOKAGON,68271,5,NORTHERN FORESTS
68-274 KEEFER LAKE,68274,5,NORTHERN FORESTS
68-275 CARAMAT,68275,5,NORTHERN FORESTS
68-277 SHINING TREE,68277,5,NORTHERN FORESTS
68-284 SAVANT LAKE,68284,5,NORTHERN FORESTS
68-289 CNT PATRICIA,68289,5,NORTHERN FORESTS
68-290 JULY FALLS,68290,5,NORTHERN FORESTS
68-291 SUNSHINE,68291,5,NORTHERN FORESTS
68-292 RAMSEY,68292,5,NORTHERN FORESTS
68-294 CARR,68294,5,NORTHERN FORESTS
68-296 WEST BAY,68296,8,EASTERN TEMPERATE FORESTS
68-297 BRINKMAN COR,68297,8,EASTERN TEMPERATE FORESTS
68-298 COLPOYS BAY,68298,8,EASTERN TEMPERATE FORESTS
68-299 LUTHER,68299,8,EASTERN TEMPERATE FORESTS
68-300 CROOKED CR.,68300,8,EASTERN TEMPERATE FORESTS
68-301 FONTHILL KAME,68301,8,EASTERN TEMPERATE FORESTS
68-303 WALLACETOWN,68303,8,EASTERN TEMPERATE FORESTS
68-304 Martels Corners,68304,8,EASTERN TEMPERATE FORESTS
68-306 Limehouse,68306,8,EASTERN TEMPERATE FORESTS
68-308 ARKELL,68308,8,EASTERN TEMPERATE FORESTS
68-314 MARMORA,68314,5,NORTHERN FORESTS
68-316 FENELON FALL,68316,5,NORTHERN FORESTS
68-317 KENSTONE BCH,68317,8,EASTERN TEMPERATE FORESTS
68-319 DALRYMPLE,68319,8,EASTERN TEMPERATE FORESTS
68-325 ASHDAD,68325,5,NORTHERN FORESTS
68-326 ESMONDE,68326,5,NORTHERN FORESTS
68-327 HIGHLAND GRV,68327,5,NORTHERN FORESTS
68-328 BEAR LAKE,68328,5,NORTHERN FORESTS
68-336 WOLF LAKE 2,68336,5,NORTHERN FORESTS
68-338 PARRY SOUND,68338,5,NORTHERN FORESTS
68-350 VENNACHER,68350,5,NORTHERN FORESTS
68-357 TERRACE BAY,68357,5,NORTHERN FORESTS
68-358 LITTLE TUKANEE LAKE,68358,5,NORTHERN FORESTS
68-373 SINGELAKE,68373,5,NORTHERN FORESTS
68-375 CORRIGAN LAKE,68375,5,NORTHERN FORESTS
68-385 OBONGA LAKE RD,68385,5,NORTHERN FORESTS
68-386 ARMSTRONG AIRPORT,68386,5,NORTHERN FORESTS
68-395 WILSON LAKE ROAD,68395,5,NORTHERN FORESTS
68-424 Prospect,68424,8,EASTERN TEMPERATE FORESTS
68-901 PETROGLYPHS,68901,5,NORTHERN FORESTS
68-907 BORDEN,68907,8,EASTERN TEMPERATE FORESTS
75-001 ALBERTON,75001,8,EASTERN TEMPERATE FORESTS
75-005 DUNDAS,75005,8,EASTERN TEMPERATE FORESTS
75-009 BEDEQUE,75009,8,EASTERN TEMPERATE FORESTS
75-013 DALVAY,75013,8,EASTERN TEMPERATE FORESTS
76-001 EARDLEY,76001,5,NORTHERN FORESTS
76-002 GLEN ALMOND,76002,5,NORTHERN FORESTS
76-003 DEPOT DE L'AIGLE,76003,5,NORTHERN FORESTS
76-004 LACOLLE,76004,8,EASTERN TEMPERATE FORESTS
76-005 VERCHERES,76005,8,EASTERN TEMPERATE FORESTS
76-008 DRUMMONDVILE,76008,8,EASTERN TEMPERATE FORESTS
76-009 EAST FARNHAM,76009,8,EASTERN TEMPERATE FORESTS
76-011 BALDWIN MILL,76011,5,NORTHERN FORESTS
76-014 N D DU LAUS,76014,5,NORTHERN FORESTS
76-018 L BISSONNETT,76018,5,NORTHERN FORESTS
76-019 ST CELESTIN,76019,8,EASTERN TEMPERATE FORESTS
76-020 LA PERADE,76020,5,NORTHERN FORESTS
76-021 ST ANTOINE,76021,8,EASTERN TEMPERATE FORESTS
76-022 ST-METHODE,76022,5,NORTHERN FORESTS
76-023 STEMARGUERIT,76023,8,EASTERN TEMPERATE FORESTS
76-025 BARRAGE,76025,5,NORTHERN FORESTS
76-026 BELLETERRE,76026,5,NORTHERN FORESTS
76-030 LAC BEAUCHEN,76030,5,NORTHERN FORESTS
76-031 GR L VICTORIA,76031,5,NORTHERN FORESTS
76-032 RIVIERE EASTMAIN,76032,4,HUDSON PLAIN
76-034 LAC MANOUANE,76034,5,NORTHERN FORESTS
76-040 STE ANNE POC,76040,8,EASTERN TEMPERATE FORESTS
76-042 N D PORTAGE,76042,5,NORTHERN FORESTS
76-050 LAC INDIEN,76050,5,NORTHERN FORESTS
76-051 VILLEBOIS,76051,5,NORTHERN FORESTS
76-053 ST PRIME,76053,5,NORTHERN FORESTS
76-054 PETIT LIEVRE,76054,5,NORTHERN FORESTS
76-055 TCHITOGAMA L,76055,5,NORTHERN FORESTS
76-057 ST ISADORE,76057,5,NORTHERN FORESTS
76-058 ST BAZILE,76058,5,NORTHERN FORESTS
76-060 STE RITA,76060,5,NORTHERN FORESTS
76-061 SAINTE PAULA,76061,5,NORTHERN FORESTS
76-067 FONTENELLE,76067,5,NORTHERN FORESTS
76-068 PTE-A-LA-FREGATE,76068, , 
76-069 ST MARCELLIN,76069,5,NORTHERN FORESTS
76-070 IL MADELEINE,76070,8,EASTERN TEMPERATE FORESTS
76-071 LAC OUESCAPIS,76071,5,NORTHERN FORESTS
76-073 MATAGAMI,76073,5,NORTHERN FORESTS
76-074 DESMARAISVIL,76074,5,NORTHERN FORESTS
76-075 RIVIERE CHIBOUGAMAU,76075,5,NORTHERN FORESTS
76-077 RIVIERE CROCHUE,76077,5,NORTHERN FORESTS
76-078 RIVIERE MISTASSINI,76078,5,NORTHERN FORESTS
76-079 R MISTASSIBI,76079,5,NORTHERN FORESTS
76-082 FORESTVILLE,76082,5,NORTHERN FORESTS
76-083 OUTARDES,76083,5,NORTHERN FORESTS
76-085 WASKAGANISH,76085,4,HUDSON PLAIN
76-086 CLARKE CITY,76086,5,NORTHERN FORESTS
76-088 HAVRE ST PIERRE,76088,5,NORTHERN FORESTS
76-092 EASTMAIN,76092,4,HUDSON PLAIN
76-094 RIVIERE CHALIFOUR,76094,5,NORTHERN FORESTS
76-095 ROUTE DU NORD,76095,5,NORTHERN FORESTS
76-096 LAC CHAMPION,76096,5,NORTHERN FORESTS
76-097 RIVIERE NEMISCAU,76097,5,NORTHERN FORESTS
76-098 MANIC-5,76098,5,NORTHERN FORESTS
76-099 RELAIS GABRIEL,76099,5,NORTHERN FORESTS
76-100 NATASHQUAN,76100,5,NORTHERN FORESTS
76-101 Fermont,76101,5,NORTHERN FORESTS
76-106 LAC CLOUTIER,76106,5,NORTHERN FORESTS
76-107 Les Cedres,76107,8,EASTERN TEMPERATE FORESTS
76-109 RICHMOND,76109,8,EASTERN TEMPERATE FORESTS
76-110 MT MEGANTIC,76110,5,NORTHERN FORESTS
76-112 LAC PYTHONGA,76112,5,NORTHERN FORESTS
76-113 L D ECORCES,76113,5,NORTHERN FORESTS
76-116 ST D D MONTC,76116,5,NORTHERN FORESTS
76-117 ST ALEXIS DES MONTS,76117,5,NORTHERN FORESTS
76-118 LAC CHARLAND,76118,5,NORTHERN FORESTS
76-120 GENTILLY,76120,8,EASTERN TEMPERATE FORESTS
76-121 ILE D'ORLEAN,76121,8,EASTERN TEMPERATE FORESTS
76-124 Beauceville,76124,5,NORTHERN FORESTS
76-125 Fabre,76125,5,NORTHERN FORESTS
76-126 LAC NILGAUT,76126,5,NORTHERN FORESTS
76-127 DUMOINE,76127,5,NORTHERN FORESTS
76-128 LAC BEND,76128,5,NORTHERN FORESTS
76-129 ANDOU,76129,5,NORTHERN FORESTS
76-132 LAFORCE,76132,5,NORTHERN FORESTS
76-135 LAC NORMAND,76135,5,NORTHERN FORESTS
76-136 VAN-BRUYSSEL,76136,5,NORTHERN FORESTS
76-140 R DES ROCHES,76140,5,NORTHERN FORESTS
76-148 LAC FAILLON,76148,5,NORTHERN FORESTS
76-151 CLUB COLONIAL,76151,5,NORTHERN FORESTS
76-155 LAC VERT,76155,5,NORTHERN FORESTS
76-156 L D LA BELLE RIVIERE,76156,5,NORTHERN FORESTS
76-162 ST ADELME,76162,5,NORTHERN FORESTS
76-163 ZEC CASAULT,76163,5,NORTHERN FORESTS
76-165 CAP D'ESPOIR,76165,5,NORTHERN FORESTS
76-166 Murdochville,76166,5,NORTHERN FORESTS
76-172 JOUTEL,76172,5,NORTHERN FORESTS
76-176 Ouje-Bougoumou,76176,5,NORTHERN FORESTS
76-182 LABRIEVILLE,76182,5,NORTHERN FORESTS
76-184 R MACDONALD,76184,5,NORTHERN FORESTS
76-186 RIV PIGOU,76186,5,NORTHERN FORESTS
76-201 BRYSON,76201,5,NORTHERN FORESTS
76-204 HENRYVILLE,76204,8,EASTERN TEMPERATE FORESTS
76-210 DOMAINE-DES-SAPINS,76210,5,NORTHERN FORESTS
76-213 Chute-St-Philippe,76213,5,NORTHERN FORESTS
76-216 LA MINERVE,76216,5,NORTHERN FORESTS
76-225 LAC DE L'EST,76225,5,NORTHERN FORESTS
76-226 Temiscaming,76226,5,NORTHERN FORESTS
76-227 R COULONGE,76227,5,NORTHERN FORESTS
76-236 LA DORE,76236,5,NORTHERN FORESTS
76-237 LAURENTIDES,76237,5,NORTHERN FORESTS
76-238 LA BRANCHE,76238,5,NORTHERN FORESTS
76-257 LAC HA! HA!,76257,5,NORTHERN FORESTS
76-266 St. Elzear,76266,8,EASTERN TEMPERATE FORESTS
76-281 RIVIERE PORTNEUF,76281,5,NORTHERN FORESTS
76-286 R STE MARGUE,76286,5,NORTHERN FORESTS
76-302 GATINEAU,76302,5,NORTHERN FORESTS
76-304 CHATEAUGUAY,76304,8,EASTERN TEMPERATE FORESTS
76-306 MONTEBELLO,76306,5,NORTHERN FORESTS
76-309 BOLTON,76309,5,NORTHERN FORESTS
76-310 STOKE,76310,5,NORTHERN FORESTS
76-318 BRANDON,76318,5,NORTHERN FORESTS
76-320 SHAWINIGAN,76320,5,NORTHERN FORESTS
76-324 BEAUREGARD,76324,5,NORTHERN FORESTS
76-341 KAMOURASKA,76341,5,NORTHERN FORESTS
76-346 DESPINASSY,76346,5,NORTHERN FORESTS
76-347 LAC FIEDMONT,76347,5,NORTHERN FORESTS
76-355 Taillon,76355,5,NORTHERN FORESTS
76-357 ZEC BREBEUF,76357,5,NORTHERN FORESTS
76-361 LA JOHN,76361,5,NORTHERN FORESTS
76-363 MIGUASHA,76363,5,NORTHERN FORESTS
76-364 LISTUGUJ,76364,8,EASTERN TEMPERATE FORESTS
76-366 PETITE VALLEE,76366,5,NORTHERN FORESTS
76-381 Tadoussac,76381,5,NORTHERN FORESTS
76-384 Godbout,76384,5,NORTHERN FORESTS
76-390 BOLDUC,76390,5,NORTHERN FORESTS
76-417 RIVIERE DU MILIEU,76417,5,NORTHERN FORESTS
76-421 St-Agapit,76421,8,EASTERN TEMPERATE FORESTS
76-443 Clerval,76443,5,NORTHERN FORESTS
76-445 Lac Berry,76445,5,NORTHERN FORESTS
76-461 Degelis,76461,8,EASTERN TEMPERATE FORESTS
76-462 LA REDEMPTION,76462,5,NORTHERN FORESTS
76-466 ST. SIMEON,76466,8,EASTERN TEMPERATE FORESTS
76-521 LYSTER,76521,8,EASTERN TEMPERATE FORESTS
76-537 LAC MALIN,76537,5,NORTHERN FORESTS
76-665 ZEC DES ANSES,76665,5,NORTHERN FORESTS
79-001 CARNDUFF,79001,9,GREAT PLAINS
